"Year","age50"
1958,6.58331101557705
1959,6.58331101557705
1960,6.58331101557705
1961,6.58442580969866
1962,6.59423904500551
1963,6.71162373629116
1964,6.65626922929046
1965,6.41239008066165
1966,6.24742160411862
1967,6.16669791833905
1968,6.13487600751721
1969,6.11790641719575
1970,6.16475873532397
1971,6.29670760480397
1972,6.28490660697518
1973,6.23085892428581
1974,5.85632682544488
1975,5.56735421813112
1976,5.62190245773409
1977,5.96907343172113
1978,6.22788570922116
1979,6.03191986950262
1980,5.99097517538821
1981,6.02695461749214
1982,6.12757848750592
1983,6.17758668259824
1984,5.97303652373138
1985,5.87394338297849
1986,6.13045768516911
1987,6.28048951585223
1988,6.14481822947844
1989,5.90823710328339
1990,5.89368583667566
1991,5.99402835015486
1992,5.8300371867858
1993,5.4168587644364
1994,4.99598859326732
1995,5.03340843448693
1996,5.31919477888787
1997,5.59012054742412
1998,5.40976494520064
1999,5.10779130535186
2000,5.22902355189083
2001,5.55516874355895
2002,5.61295965916304
2003,5.2987262576109
2004,5.07181667925928
2005,5.20115331878729
2006,5.34479333620857
2007,5.08168962296876
2008,5.00096178177432
2009,5.19004814688076
2010,5.39176940405782
2011,5.39284815632587
2012,5.28467949338097
2013,5.10963092710722
2014,5.0888161057991
2015,5.34371174703408
2016,5.42673255935586
2017,5.32663984428436
2018,5.28770941805953
